category,description,title,asin
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Granola']","[""Zoe's Cinnamon Raisin Granola is a chewy and delicious blend of whole grains, ground flaxseed, soy, and dried fruit. Touched with the sweetness of honey and molasses, every serving of Zoe's all-natural granola provides fiber, protein, omega-3s, and iron in one delightfully nutritious bowl. Zoe's Granolas contain no cholesterol, are low in saturated fat and sodium, and are wheat and dairy free. Enjoy with milk, soy milk, yogurt, fruit, as a topping, hot cereal, or snack right out of the box! Zoe's Granola fuels your body, mind, and spirit--giving you all-day energy and everyday health. Made in the United States, Zoe's Granolas are available in three delicious flavors: Cranberries Currants, Honey Almond, and Cinnamon Raisin."", ""Zoe's Cinnamon Raisin Granola is a chewy and delicious blend of whole grains, ground flaxseed, soy, and dried fruit. Touched with the sweetness of honey and molasses, every serving of Zoe's all-natural granola provides fiber, protein, omega-3s, and iron in one delightfully nutritious bowl. Zoe's Granolas contain no cholesterol, are low in saturated fat and sodium, and are wheat and dairy free. Enjoy with milk, soy milk, yogurt, fruit, as a topping, hot cereal, or snack right out of the box! Zoe's Granola fuels your body, mind, and spirit--giving you all-day energy and everyday health. Made in the United States, Zoe's Granolas are available in three delicious flavors: Cranberries Currants, Honey Almond, and Cinnamon Raisin."", 'Whole Rolled Oats, Ground Flaxseed, Evaporated Cane Juice, Mixed Fruit Juice Concentrate (Pineapple, Pear, Apple, Peach), Corn Bran, Raisins, Honey, Crisped Soy Nuggets (Isolated Soy Protein, Rice Flour, Barley Malt Extract), Dry Roasted Soybeans, Dried Apples (Unsulfured), Isolated Soy Protein, Molasses, Rice Flour, Canola Oil, Ground Cinnamon, Natural Flavor, Salt, Vitamin E (Mixed Tocopherol - A Natural Antioxidant), Natural Caramel Color.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']"," Zoe&#39;s Granola, Cinnamon Raisin Cereal, 11-Ounce Boxes (Pack of 6)",B001E5E4HA
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Toaster Pastries']","['Good source of 7 vitamins & minerals. Exchange: 2-1/2 Carbohydrates. The dietary exchanges are based on the Exchange Lists for Meal Planning, Copyright 2003 by The American Diabetes Association, Inc. and The American Dietetic Association.', '<div class=""aplus"" ><i>Kellogg&#146;s&#174; Pop-Tarts&#174;</i> Low Fat Frosted Brown Sugar Cinnamon toaster pastries are Made For Fun!&#153; Fully baked and ready to eat right from the box, or you can warm them in the toaster. Some flavors are delicious even when frozen. <i>Pop-Tarts&#174;</i> provide six essential vitamins and minerals. They contain zero grams of trans fat, and they&#146;re available in a variety of fun flavors. Make today more fun with <i>Kellogg&#146;s&#174; Pop-Tarts&#174;</i> Low Fat Frosted Brown Sugar Cinnamon toaster pastries. For product information, fun ideas, promotions and more, visit poptarts.com.', '<center><img src=""https://images-na.ssl-images-amazon.com/images/G/01/hpc/detail-page/B000AYDG1Q_poptarts.jpg"" border=""0""></center> <br clear=""all""></div>', 'Contains wheat ingredients. Due to possible risk of fire, never leave your toasting appliance or microwave unattended. If pastry is overheated, frosting/filling can become extremely hot and could case burns.', 'Brown Sugar Cinnamon Filling', ""While Kellogg's Pop-Tarts are fully baked and ready-to-eat right from the pouch, if you prefer them warmed, please follow these instructions: Toasting appliance and microwave capabilities differ by manufacturer. Follow the manufacturer's guidelines for safe use. Be sure your appliance is clean and functioning correctly. Children should always be closely supervised when operating toasting appliances and microwaves. No refrigeration needed. Pop-Tarts Toasting Instructions: 1. Remove pastry from pouch. 2. Warm pastry in toasting appliance at Lowest or Lightest heat setting for one heating cycle only. 3. Cool briefly before carefully removing pastry from toasting appliance. Pop-Tarts Microwave Instructions: 1. Remove pastry from pouch. Place pastry on a microwave-safe plate. 2. Microwave on High setting for 3 seconds. 3. Cool briefly before handling."", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Pop-Tarts, Frosted Low Fat Brown Sugar Cinnamon, 8-Count Tarts (Pack of 12)",B000AYDG3Y
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Cold Cereals']","['These crispy, toasted corn flakes are sweetened only with fruit juice &#8211; perfect with just milk or paired with your favorite fruit.', 'Organic Yellow Corn Meal, Organic Fruit Juice Concentrate (Apple, Peach, Pear or Pineapple), Sea Salt.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Barbara's Bakery Corn Flakes, Fruit Juice Sweetened, 9-Ounce Boxes (Pack of 6)",B001EO5JLQ
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Toaster Pastries']","['Great for the whole family!', ""You've heard that breakfast is the most important meal of the day: a good breakfast every morning assists with maintaining a healthy weight, helps ensure daily proper nutrition, and helps kids concentrate better in school."", ""Since 1906, Kellogg's has provided delicious, ready-to-eat breakfast products to help families start their mornings right. Kellogg's Pop Tart Unfrosted Apple are enriched-wheat pastries with real apple filling. These sweet breakfast toaster pastries are ready to eat from the box or heat in the microwave or toaster. They're a good source of seven vitamins and minerals and have no trans fat or cholesterol. Make these toaster pastries a part of your breakfast, or snack on them as a healthy alternative to doughnuts and candy bars."", 'Contains wheat and soy ingredients.', 'Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Sugar, Partially Hydrogenated Soybean and/or Cottonseed Oil, Whole Wheat Flour, Honey, High Fructose Corn Syrup, Contains Two Percent or Less of Calcium Carbonate, Salt, Baking Soda, Cinnamon, Maltodextrin, Soy Lecithin.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Pop-Tarts Apple Cinnamon, 8-Count Boxes (Pack of 12)",B000EEZ4ZI
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals']",[],"General Mills Cheerios Cereal, 14 oz (Pack of 4)",B0043IDCP0
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Granola']","['Artisan crafted in four mouthwatering flavors, this all-natural granola will tantalize your taste buds and satisfy every palate young or experienced. The perfect balance of crunchy and sweet with a hint of salt to keep you coming back for more, this delicious addiction is also low in fat and sugar as well as high in fiber and protein. And if thats not enough the versatility of Lauras Gourmet Granola explains its increasing popularity with consumers  whether baked into recipes, paired with milk, or consumed right out of the bag. Whichever way you choose, whatever time of day, Lauras Gourmet Granola is THE tasty addition youve been looking for. So whats holding you back? Get out of the box, into this bag, and find out, which flavor are you?', 'Contains almonds, manufactured in a facility that processes eggs, wheat, tree nuts and peanuts, fish, crustaceans, and shellfish products.', 'Whole Rolled Oats, Golden Brown Sugar, Honey, Canola Oil, Almonds, Pure Vanilla Extract, Spices, Kosher Salt', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Laura's Gourmet Granola Vanilla Almond Crunch, 16-Ounce Packages (Pack of 3)",B00401OZXS
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Cold Cereals']",[],"OLD WESSEX CEREAL OAT BRAN CRMY ORG, 18.5 OZ",B00G73WKJ8
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars']","[""Lenny & Larry's-Muscle Brownie contains 20 grams of high quality protein, fresh baked.""]","LENNY &amp; LARRY'S Triple Chocolate Muscle Brownie, 2.29-Ounce Packages (Pack of 12)",B001EJN8IC
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Toaster Pastries']","['Pop-Tarts Frosted Cherry toaster pastries are a delicious treat to look forward to. Jump-start your day with a fruity, cherry-flavored center encased in a crumbly pastry crust and topped with sweet frosting and sprinkles. A quick and tasty anytime snack for the whole family, Kelloggs Pop-Tarts toaster pastries are an ideal companion for lunch boxes, after-school snacks, and busy, on-the-go moments. Just pop them in your toaster for a warm, golden crust or enjoy them right out of the pouch with a glass of ice-cold milk.', ""Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Vitamin B1, [Thiamin Mononitrate], Vitamin B2 [Riboflavin], Folic Acid), Corn Syrup, High Fructose Corn Syrup, Dextrose, Soybean and Palm Oil (with TBHQ for Freshness), Sugar, Cracker Meal, contains two percent or less of Wheat Starch, Salt, Dried Cherries, Dried Apples, Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Citric Acid, Gelatin, Caramel Color, Modified Wheat Starch, Xanthan Gum, Soy Lecithin, Vitamin A Palmitate, Red 40, Niacinamide, Reduced Iron, Natural Flavor, Red 40 Lake, Vitamin B6 (Pyridoxine Hydrochloride), Yellow 6, Carnauba Wax, Vitamin B2 (Riboflavin), Vitamin Bi (Thiamin Hydrochloride), Confectioner's Glaze, Blue 1."", 'Fully baked & ready to eat!<br>Or enjoy them toasty warm!<br>Remove from pouch before heating.<br>For toaster:<br>1. Warm pastry in toaster at lowest heat setting.<br>2. Cool briefly before handling.<br>For microwave:<br>1. Place pastry on microwave safe plate.<br>2. Heat on high for 3 seconds.<br>3. Cool briefly before handling.<br>Caution: if pastry is overheated, frosting/filling can become extremely hot and could cause burns. Due to possible risk of fire, never leave appliance unattended while in use. Children should be supervised. Appliances vary. Be sure your appliance is clean and functioning correctly. Times given are approximate.<br>Contains wheat and soy ingredients.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Pop-Tarts Breakfast Toaster Pastries, Frosted Cherry Flavored, 22 oz (12 Count)",B007F1NN4M
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars', 'Cereal']","[""Product packaging may differ slightly from the 'Shred' box. Product contents, ingredients and nutrition panel are otherwise identical. No returns accepted."", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Shred Fluffy Nutter Protein Bar 1.4 Oz - Pack of 7,B00SP99G8U
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Oatmeal']","['From the best natural ingredients to the unsurpassed taste, Umpqua oats is truly the nutritious, delicious and fast breakfast choice. The products we use make Umpqua oats different. Whole rolled oats we use only whole thick rolled oats for an ""old fashioned"" taste. Rolled oats contain thiamin, iron and fiber. Fiber is helpful in reducing cholesterol levels in the bloodstream. Whole oats are also the only source of antioxidant compounds known as avenanthramides. Sucanat sugar another quality ingredient we add to our oatmeal is sucanat sugar. Sucanat is whole cane sugar that is simply made by crushing freshly cut sugar cane, extracting the juice and heating it in a large vat. Once the sugar is reduced to a rich dark syrup it is hand paddled to cool creating the porous granules called sucanat. Sucanat adds that caramel flavor to our oatmeal.', ""'WHOLE ROLLED OAT GROATS, CANE SUGAR, SUNDRIED SEEDLESS RAISINS, DRIED SWEETENED CRANBERRIES (CRANBERRIES, SUGAR), CINNAMON, FREEZE DRIED APPLES, SEA SALT.'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Umpqua Oats All Natural Oatmeal, Mostly Sunny, 2.6 Ounce (Pack of 12)",B00CM3JDK6
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals']","['Post shredded wheat original cereal is pure and simple goodness.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Post Shredded Wheat Original Cereal, Spoon Size, 47.2-Ounce Boxes (Pack of 2)",B002LVACR2
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars', 'Cereal']","['A sweet and salty combination of whole pecans, walnuts and peanuts in maple syrup with a touch of sea salt. Our Nuts & Spices bars have to meet a strict standard: only 5g of sugar or less. And with ingredients like dark chocolate, caramel, and vanilla, they seem too good to be true. But made from only simple and natural ingredients, theyre a snack that only tastes indulgent.', ""'MIXED NUTS (ALMONDS, PEANUTS, PECANS), CHICORY ROOT FIBER, HONEY, NON GMO GLUCOSE, CRISP RICE, MAPLE SYRUP, SEA SALT, NATURAL MAPLE FLAVOR, SOY LECITHIN.'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","KIND Bars, Maple Glazed Pecan &amp; Sea Salt, Gluten Free, Low Sugar, 1.4oz, 4 Count",B00LGWF0I8
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals']",[],"General Mills Total Cereal, Plus Omega 3's Honey Almond Flax, 12.3 oz (Pack of 4)",B0043IDFNY
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars', 'Energy & Nutritional']",['Clif Bar Luna Nutrition Bar For Women Blueberry Bliss 15 Bars'],Clif Bar Luna Nutrition Bar for Women Blueberry Bliss 15 Bars,B003YIQ3QU
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Breakfast & Cereal Bars', 'Energy & Nutritional']","['ThinkThin Bar Cherry & Mixed Nuts, 1.41 oz, 10 pk', 'Total Fat (1.1 g), Saturated Fats (1.5 g), Sodium (75 mg), Total Carbohydrate (16 g), Dietary Fiber (4 g), Sugars (6 g), Protein (8 g), Calcium (4%), Iron (8%)', 'Peanuts, almonds, brown rice syrup, soy crisps (soy protein, tapioca starch), chicory fiber, cashews, dried cranberries [cranberries, sugar, cherry juice concentrate, natural flavors, citric acid, sunflower oil, elderberry juice concentrate (color)], dried cherries, dextrose, sunflower lecithin, natural flavors, sea salt.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","ThinkThin Bar Cherry &amp; Mixed Nuts, 1.41 oz, 10 pk",B00KPV2IWM
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Oatmeal']","['Never again spend another sleepless night deciding between strawberries and cream and peaches and cream flavors. With Quaker Lower Sugar Fruit & Cream Variety Pack, you can have both &#8211; and with half the sugar! We give you all of the taste, all of the variety and all of the Quaker goodness. The choice is yours. Now go get some sleep.', 'Strawberries & cream:<br>Contains milk ingredients.', 'Varies By Flavor', 'Hot water or milk instructions:<br>1. Empty packet into bowl.<br>2. Add up to 1/3 cup hot milk or boiling water, stir.<br>3. Let sit for 60 seconds.<br>Two ways to open!<br>1. Lift tab here to open. Or...<br>2. For a convenient pantry pack, press in and pull up along perforation on back of box to remove flap.<br>Microwavable instructions:<br>1. Empty packet into microwave-safe bowl.<br>2. Add up to 1/2 cup unheated milk or water; stir.<br>Now, for convenience, you can use the packet as a measuring cup.<br>3. Microwave on high 1 to 2 minutes; stir again.<br>4. Use care when removing cereal from microwave; bowl may be hot.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Quaker Instant Oatmeal, Low Sugar Fruit &amp; Cream Variety Pack, Breakfast Cereal, 10 Packets Per Box (Pack of 4)",B001M0AKSE
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals']","['Ghana White Gari 4 LB', 'Grated Cassava', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Gari (Ghana White), 4 LB (64oz)",B00F26WG7M
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Granola']","[""Our crunchy, chocolate-y clusters are great for snacking; or serve them with almond or coconut milk for a grain-free granola alternative. And for a special treat, try them sprinkled over vanilla ice cream. OH, yes.\n\n<br /><br />\nWe're really proud of our ingredients. They're whole, organic, and packed with a wide array of vitamins, minerals, protein, fiber and essential fatty acids. And they're free of agave or any other refined sweeteners. In other words: simple, clean, unprocessed foods like our Paleolithic ancestors ate.\n<br /><br />"", 'Contains: Coconut, Almonds and Cashews', 'organic coconut flakes, organic dates, honey, cashews, organic pumpkin seeds, filtered water, organic coconut oil, almonds, organic flax seeds, organic cacao nibs, organic cacao powder, sea salt', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","WHOLLY BITES Cacao Nib Paleo Clusters, 6 Ounce",B00OPUK4H0
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Oatmeal']","['Thick rolled oats are made from kilned, whole groats processed by steaming and flaking. These oat flakes provide a textural difference (a more solid ""bite"" than medium rolled oats) while still maintaining the high nutritional value common in all oat products. Thick rolled oats are frequently used in breads, energy bars and granola. The thickness and absorbency can be adjusted to fit your needs.']"," Bulk Grains, Organic Thick Rolled Oats, 50 Lbs",B001KWB3FS
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Cold Cereals']","['When you feel a sweet craving coming on, its good to have something you can reach for. Special K Chocolatey Strawberry Cereal is just the ticket. Crunchy rice and wheat flakes with chocolatey pieces and strawberries will help you get a sweet fix without setting you back.', ""'RICE, WHOLE GRAIN WHEAT, SUGAR, WHEAT BRAN, HYDROGENATED PALM KERNEL OIL, FREEZE-DRIED STRAWBERRIES, CONTAINS 2% OR LESS OF SALT, SOLUBLE WHEAT FIBER, BROWN SUGAR SYRUP, COCOA PROCESSED WITH ALKALI, NATURAL AND ARTIFICIAL FLAVOR, MALT FLAVOR, COCOA, SOY LECITHIN, MILK, BHT FOR FRESHNESS. VITAMINS AND MINERALS: VITAMIN C (ASCORBIC ACID), REDUCED IRON, NIACINAMIDE, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B2 (RIBOFLAVIN), VITAMIN B1 (THIAMIN HYDROCHLORIDE), VITAMIN A PALMITATE, FOLIC ACID, VITAMIN D, VITAMIN B12.'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Special K Kellogg's Cereal, Chocolaty Strawberry, 16.70 Ounce",B01763CJR0
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Toaster Pastries']",[],"University of Georgia Printed Fun Pop Tarts Frosted Bulldog Berry, Limited Edition, 1 Box of 8 Pastries",B009HUO3BQ
"['Grocery & Gourmet Food', 'Breakfast Foods', 'Cereals', 'Granola']","['The wholesomeness of oatmeal meets the crunch of granola. This delicious new hot cereal is made with whole grain Quaker oats specially baked into delicious clusters of multigrain granola that stay crunchy even after being heated with milk. Pieces of apple and cinnamon are an added treat to an already mouthwatering creamy texture and flavor.', ""'WHOLE GRAIN ROLLED OATS, WHOLE GRAIN ROLLED WHEAT, SUGAR, DRIED SWEETENED CRANBERRY PIECES (DRIED CRANBERRIES, SUGAR, GLYCERINE), ALMONDS, BROWN RICE CRISP (WHOLE GRAIN BROWN RICE, SUGAR, BARLEY MALT, SALT), CANOLA OIL, WHEY, POLYDEXTROSE, CORN STARCH, MOLASSES, NONFAT DRY MILK, WHEY PROTEIN CONCENTRATE, NATURAL FLAVOR, HONEY, SALT, SODIUM BICARBONATE, DRIED COCONUT, CINNAMON, SUNFLOWER OIL.'"", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Quaker, Warm &amp; Crunchy Granola, Cranberry Almond, 14.1oz Box (Pack of 4)",B00G0FUZMC
